episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks
5415_20200218.161125_CA2,Fe,5415,CA2,30,0.055,0.35836,0.09431,15 19 11,1.0,24 29 0,0.09057,12 18 26,0.14418,24 29 16,0.14418,24 29 16,0.14418,24 29 16
5415_20200218.161125_CA3,Fe,5415,CA3,30,0.03796,0.31821,1.0,15 0 5,1.0,24 0 5,0.11226,12 18 23,0.21218,24 16 12,0.21218,24 16 12,0.21218,24 16 12
5415_20200218.161125_CA4,Fe,5415,CA4,30,0.01297,0.32182,0.43957,15 0 5,0.62593,24 29 0,0.06617,12 19 24,0.62593,24 29 16,0.62593,24 29 16,0.62593,24 29 16
5415_20220623.175729_CA1,Fe,5415,CA1,22,0.23185,0.35174,0.21262,11 9 7,1.0,18 0 4,0.06155,10 13 17,0.07366,18 14 11,0.07366,18 14 11,0.07366,18 14 11
5415_20220623.175729_CA2,Fe,5415,CA2,22,0.19351,0.46714,0.13642,11 9 7,1.0,18 0 4,0.01917,10 13 16,1.0,18 14 0,1.0,18 14 0,1.0,18 14 0
5415_20220623.175729_CA3,Fe,5415,CA3,22,0.16054,0.40957,1.0,11 0 4,1.0,18 0 4,0.01861,10 13 9,1.0,18 13 0,1.0,18 13 0,1.0,18 13 0
5415_20220623.175729_CA4,Fe,5415,CA4,22,0.07364,0.36758,1.0,11 0 4,1.0,18 0 4,0.05889,10 14 20,0.09909,18 13 11,0.09909,18 13 11,0.09909,18 13 11
5417_20200218.145212_CA1,Zn,5417,CA1,30,0.5395,0.32807,0.28955,15 19 12,0.28955,19 29 12,1.0,16 0 7,0.54048,19 29 13,0.54048,19 29 13,0.19477,19 29 11
5417_20200218.145212_CA2,Zn,5417,CA2,30,0.00861,0.61925,0.6652,15 19 12,0.45519,19 29 11,0.39131,16 0 23,0.6652,19 29 12,0.6652,19 29 12,0.45519,19 29 11
5417_20200218.145212_CA3,Zn,5417,CA3,30,0.0076,0.4226,0.38333,15 19 12,0.19861,19 29 11,0.08472,16 0 7,0.38333,19 29 12,0.38333,19 29 12,0.19861,19 29 11
5417_20200218.145212_CA4,Zn,5417,CA4,30,0.01727,0.19424,0.2375,15 19 12,0.03264,19 29 12,0.05674,16 0 23,0.03264,19 29 12,0.03264,19 29 12,0.0,19 29 11
5417_20200218.16281_CA1,Zn,5417,CA1,26,1.09397,0.46785,0.502,13 10 7,0.41022,17 25 13,0.41022,13 0 14,0.502,17 13 10,0.502,17 13 10,0.41022,17 25 13
5417_20200218.16281_CA2,Zn,5417,CA2,26,0.03754,0.50021,0.87572,13 10 7,0.28473,17 25 13,0.28473,13 0 14,0.87572,17 13 10,0.87572,17 13 10,0.28473,17 25 13
5417_20200218.16281_CA3,Zn,5417,CA3,26,0.00456,0.5156,0.37526,13 10 7,0.31447,17 25 13,0.20126,13 0 14,0.31447,17 13 25,0.31447,17 13 25,0.31447,17 25 13
5417_20200218.16281_CA4,Zn,5417,CA4,26,0.00285,0.4519,0.37237,13 0 4,0.36637,17 25 13,0.37237,13 0 20,0.36637,17 13 25,0.36637,17 13 25,0.36637,17 13 25
5418_20200218.145757_CA1,In,5418,CA1,28,0.14936,0.6986,0.59754,14 11 18,0.62558,0 8 11,1.0,15 6 19,0.62558,0 8 11,0.62558,0 8 11,0.62558,0 8 11
5418_20200218.145757_CA2,In,5418,CA2,28,0.04844,0.80717,0.7449,14 11 18,0.79568,0 8 11,0.84276,15 6 19,0.79568,0 8 11,0.79568,0 8 11,0.79568,0 8 11
