episode_id,source,chem,plate,n_cand,dims,max_merit,chance,cls_gp,cls_xrd,fm_prior,fm_xrd,fm_xrd_nogap,fm_xrd_nomace,cluster
5435_20220623.112423_CA1,base,Pb-Sb,5435,29,1,0.0452430372294372,0.25147,0.02136,0.49496,0.58117,1.0,1.0,0.49496,Pb-Sb
5435_20220623.112423_CA2,base,Pb-Sb,5435,29,1,0.0208562274422825,0.21377,0.01798,0.497,0.4041,1.0,1.0,0.497,Pb-Sb
5435_20220623.112423_CA3,base,Pb-Sb,5435,29,1,0.0082657855635289,0.33994,0.59367,0.59367,0.69393,0.59367,0.59367,0.59367,Pb-Sb
5435_20220623.112423_CA4,base,Pb-Sb,5435,29,1,0.007172434221146,0.40387,0.06395,0.40117,0.49419,0.40117,0.40117,0.40117,Pb-Sb
5436_20200218.145045_CA1,base,Sb-Y,5436,29,1,0.0534895382395382,0.84017,0.83058,0.96,0.67677,0.96,0.96,0.96,Sb-Y
5436_20200218.145045_CA2,base,Sb-Y,5436,29,1,0.0652497340827112,0.81872,0.88949,0.98034,0.80119,0.98034,0.98034,0.98034,Sb-Y
5436_20200218.145045_CA3,base,Sb-Y,5436,29,1,0.141456310679612,0.82179,0.81045,0.92179,0.66921,0.92179,0.92179,0.92179,Sb-Y
5436_20200218.145045_CA4,base,Sb-Y,5436,29,1,0.14538661393597,0.83635,0.78544,0.97464,0.7062,0.97464,0.97464,0.97464,Sb-Y
5436_20220623.173226_CA1,base,Sb-Y,5436,29,1,0.0034891774891774,0.35548,0.09487,0.34359,1.0,0.34359,0.34359,0.34359,Sb-Y
5436_20220623.173226_CA2,base,Sb-Y,5436,29,1,0.0007604929125919,0.30913,0.35617,0.42466,0.0274,0.12329,0.12329,0.12329,Sb-Y
5436_20220623.173226_CA3,base,Sb-Y,5436,29,1,0.0014176173068805,0.4936,1.0,0.78461,0.0,0.78461,0.78461,0.78461,Sb-Y
5436_20220623.173226_CA4,base,Sb-Y,5436,29,1,0.004003228410008,0.34015,0.02083,0.34375,0.54167,0.02083,0.02083,0.02083,Sb-Y
5439_20200325.131306_CA1,base,Mg-Sb,5439,30,1,0.0867103279801748,0.36212,0.00906,0.00906,1.0,1.0,0.00914,0.00906,Mg-Sb
5439_20200325.131306_CA2,base,Mg-Sb,5439,30,1,0.0066842239467849,0.29616,0.02253,0.03248,0.82999,0.82999,0.03248,0.03248,Mg-Sb
5439_20200325.131306_CA3,base,Mg-Sb,5439,30,1,0.0029332793342579,0.33126,0.32573,1.0,0.32573,1.0,1.0,1.0,Mg-Sb
5439_20200325.131306_CA4,base,Mg-Sb,5439,30,1,0.00274183946932,0.17597,0.33375,0.33375,0.00063,0.33375,0.33375,0.33375,Mg-Sb
5439_20220623.17371_CA1,base,Mg-Sb,5439,29,1,0.031796283982684,0.43184,0.0076,0.01773,0.8534,0.8534,0.01097,0.01294,Mg-Sb
5439_20220623.17371_CA2,base,Mg-Sb,5439,29,1,0.0012709656215344,0.48757,0.19672,0.18852,0.14754,1.0,0.19672,0.18852,Mg-Sb
5439_20220623.17371_CA3,base,Mg-Sb,5439,29,1,0.0012213319544111,0.45098,0.08929,0.08929,0.25,0.08929,0.08929,0.08929,Mg-Sb
5439_20220623.17371_CA4,base,Mg-Sb,5439,29,1,0.0036696243744955,0.29156,0.19318,0.11364,0.38636,0.44318,0.44318,0.11364,Mg-Sb
5440_20200218.144829_CA1,base,Co-Sb,5440,28,1,0.0447665945165945,0.5299,0.08477,1.0,0.14073,0.9273,1.0,1.0,Co-Sb
5440_20200218.144829_CA2,base,Co-Sb,5440,28,1,0.0404804194279003,0.28853,0.11028,0.34272,0.07923,0.34647,0.34272,0.34272,Co-Sb
5440_20200218.144829_CA3,base,Co-Sb,5440,28,1,0.136856567136838,0.13889,0.03921,0.03921,1.0,0.03921,0.03921,0.03921,Co-Sb
5440_20200218.144829_CA4,base,Co-Sb,5440,28,1,0.0217953468926554,0.26944,0.49598,0.10312,0.09821,0.0,0.10312,0.04821,Co-Sb
5440_20200218.162947_CA1,base,Co-Sb,5440,30,1,0.094433604077925,0.52516,1.0,1.0,0.09993,0.73057,1.0,1.0,Co-Sb
